,"Note 1: The color defines the seller of the component. Components are rather generic, therefore you should be able to use your favorite distributor.",
,Note 2: We try and include a link in the form of the part number for each website,,,,,,,,
,"Note 3: We purhace our components in bulk (as required by several of the components). The price/unit was determined by purchasing 100 of each component.  If you purchase a single unit, the price is probably ~200USD.",,,,,,,,,
,Note 4: The case is optional. It is cosmetic but helps protect the detector.,,,,,,,,,
,Note 5: We do not include shipping or taxes in our costs analysis.,,,,,,,,,
,"Note7: Some things you have to buy in bulk. Like optical gel, you buy a tube that will do 50 detectors.",,,,,,,,,
,,,,,,,,,,
,Detector Purchasing List,,,,,,,,,,
,Item,Name,Number,,Price 1x (unit),Price 10x,1xPrice/Unit * number,10xPrice/Unit * number,Description,Link,Other link
,26,2.54mm 2x3 pin 6-pin connector,1,P1,0.89,7.55,0.89,0.755,CONN SOCKET 6POS 0.1 GOLD PCB,Digikey Part Number: 1212-1229-ND
,27,BAT54S Schottky diode,2,"D1,D4",0.13,0.73,0.26,0.14599999999999999,DIODE ARR SCHOT 30V 200MA SOT233,Digikey Part Number: 4878-BAT54SCT-ND
,28,BNC header + Nut,1,P2,2.48,21.07,2.48,2.1070000000000002,CONN BNC JACK R/A 50 OHM PCB,Digikey part number: WM5514-ND,https://www.aliexpress.us/item/3256808135373041.html?spm=a2g0o.productlist.main.83.4ed4iAnUiAnUFT&algo_pvid=e9fdd4dc-45cd-4661-834a-0a95d6c29953&algo_exp_id=e9fdd4dc-45cd-4661-834a-0a95d6c29953-41&pdp_npi=4%40dis%21USD%212.34%211.99%21%21%212.34%211.99%21%40210308a417358268926547219e9e35%2112000044602774281%21sea%21US%216040781666%21X&curPageLogUid=lzX0iuf1BLZx&utparam-url=scene%3Asearch%7Cquery_from%3A
,27,Reset Button ,1,SW1,0.33,2.82,0.33,0.28199999999999997,SWITCH TACTILE SPST-NO 6x6x9mm,https://www.digikey.com/en/products/detail/c-k/PTS645VH83-2-LFS/1146776?s=N4IgTCBcDaIAoBUDKA2ALAVgGoAkAcAzALRgAEAMgGJIgC6AvkA,https://www.aliexpress.us/item/2255800088886713.html?spm=a2g0o.productlist.main.1.5d172f2c2b4LB4&algo_pvid=44ab2c8b-7d04-41c8-a2d4-f8e5a7af6b37&algo_exp_id=44ab2c8b-7d04-41c8-a2d4-f8e5a7af6b37-0&pdp_npi=4@dis!USD!2.40!2.18!!!2.40!2.18!@2103246c17246283151024594e04ed!10000001116412896!sea!US!6040781666!X&curPageLogUid=aCQMXpZQFYzb&utparam-url=scene:search%7Cquery_from:
,30,6 pin SMT (on SiPM board) 2x3 pins  ,1,P7,0.53,4.51,0.53,0.45099999999999996,CONN HEADER SMD 6POS 2.54MM,https://www.digikey.com/en/products/detail/molex/0015910060/614773?s=N4IgTCBcDaIOoFkCMB2ALAVhQWgHIBEQBdAXyA
,31,SiPM,1,U3 (pin 1 (anode) indicated by outer line),28.41,251.47,28.41,25.146999999999998,MICROFC-60035-SMT-TR,https://www.digikey.com/en/products/detail/onsemi/MICROFC-60035-SMT-TR/9742618
,28,RJ45 Coincidence connector ,1,J1,0.45,3.83,0.45,0.38300000000000001,"RJ45, 8p8c right angle",https://www.aliexpress.us/item/2255800047081475.html?spm=a2g0o.productlist.main.5.75041f08oHxKQj&algo_pvid=f5a390b0-14d5-48aa-8d78-c397a6a95e25&algo_exp_id=f5a390b0-14d5-48aa-8d78-c397a6a95e25-2&pdp_npi=4@dis!USD!1.86!1.86!!!1.86!1.86!@2103080e17246694755947771e7eb6!10000000946738865!sea!US!6040781666!X&curPageLogUid=AuMGfRufyP3g&utparam-url=scene:search%7Cquery_from:,,,,
,29,Buzzer,1,BZ1,0.68899999999999995,6.89,0.68899999999999995,0.68899999999999995,BUZZER MAGNETIC,https://www.amazon.com/Cylewet-Electronic-Magnetic-Continuous-Arduino/dp/B01N7NHSY6/ref=sr_1_3?crid=1MNYVMDNFEG3E&dib=eyJ2IjoiMSJ9.OyPyJJ4xtWru7f8xcsfDi8e4qjY9GGAhTKncBv3i2HdX6MDcc_WhKZdq7ahgIYUhKmLfsGVyf3I-vsAssihzpUcWaJiIX5gbA4AItcrNK7LowPi3mg4oIsQaiWEhRinMSsN5eMUNHLtiiEgH6x5uT_KSIfgea3YTN3SxXZy1nukWkFEV_bmoknKGc1dfM3E8rM0jEiIJZ2aqGXCxnRtBUBjffVhiofeTTyZutbFfT1A.dkBYlqof22OIS1K7N3muU6fY-olB7VYYAUiOiKpEmuk&dib_tag=se&keywords=arduino+buzzer&qid=1746097136&sprefix=arduino+buzze%2Caps%2C98&sr=8-3,https://www.aliexpress.us/item/3256806114046837.html?gatewayAdapt=glo2usa4itemAdapt
,28,Temp/Pressure sensor,1,J4 (shared with Accelerometer),1.478,14.78,1.478,1.478,BMP280-3.3V,https://www.amazon.com/HiLetgo-Precision-BMP280-3-3-Atmospheric-Pressure/dp/B07VNDZ6N4/ref=sr_1_1_sspa?crid=2WA8RRS5GLFWX&dib=eyJ2IjoiMSJ9.PQHrDGGwwh2cgTLuXX4nF870sAt6XAz8U4CIdF9DeBC-pZwJTkwLVYbG8BdzLpK5zaqfsrpGI2wCy9JOiFchuh7r5tl0vOwMbviwKmGzx8L0TcxGB9_IqqF4padTynuO8OPTuwr6SL-1H4MVOmpxrOkB_Tpxd29W9FvHxMmEem6-JngjtrfqaU4N1Gu7UtFGtMBhAB1_HoO2W1lhA_XMdSmut5iOsYaf2o_jmvpvxhf0onzMkvQEjZDfLrtyfCp5Tc4RxoXtnE7xHGKVku-39glbg5G-T_m9pZHHUdvePfI.5lhtVtIPaCO5bfaS23RDG1KnPseKv40k5e5wTOpRGok&dib_tag=se&keywords=bmp280&qid=1746097268&s=industrial&sprefix=bmp280%2Cindustrial%2C69&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,https://www.aliexpress.us/item/3256803501753106.html?spm=a2g0o.productlist.main.1.23243c09cmb3pv&algo_pvid=b1bff989-8685-4762-8aa2-96f1fae00c6c&algo_exp_id=b1bff989-8685-4762-8aa2-96f1fae00c6c-0&pdp_npi=4@dis!USD!4.16!4.16!!!4.16!4.16!@2101fb1517246716358194643e6340!12000029397729122!sea!US!6040781666!X&curPageLogUid=9zLGHXd8MteZ&utparam-url=scene:search%7Cquery_from:
,29,Accelerometer,1,J4 (shared with Temp/Pressure),6.99,36.633333329999999,6.99,3.6633333329999997,3-axis Gyrometer-Accelerometer,https://www.amazon.com/HiLetgo-MPU-6050-Accelerometer-Gyroscope-Converter/dp/B00LP25V1A?th=1
,30,LED 3mm ,1,D2,6.9900000000000004E-2,0.69900000000000007,6.9900000000000004E-2,6.9900000000000004E-2,3mm LED,https://www.amazon.com/Transparent-Lighting-Electronics-Components-Emitting/dp/B01BTYHOJ0/ref=sr_1_4?crid=3QS9US5QPXKBJ&dib=eyJ2IjoiMSJ9.4StSeUKQqoOTODhHN7I_YmebuQenDuJWzUGOGyI_pZCMSlQij3zJzNFaB2MGHScow6YliSkuO_h2OgmkEGcC1s2NCS3erw7o3WCRR9NROsB6DofeTy9N9ZN8kFqvlNPVDLoRvcPb0eRhx8prtfuVxZvojiZ_rMheShekL-Tb36IaZhlPuQwlXMkSzjfRqi7AfGru_rUPmlTBApS3pnA52dFAn_DApLf5p5x-kGdvjmc.IvKbsFNHslNR_f0vy3jiMwue0E7fAEUFP-8EmJJ8rtY&dib_tag=se&keywords=blue%2B3mm%2Bled&qid=1735827386&sprefix=blue%2Bmm%2Bled%2Caps%2C181&sr=8-4&th=1
,29,LED 5mm ,1,D5,6.9900000000000004E-2,0.69900000000000007,6.9900000000000004E-2,6.9900000000000004E-2,5mm LED,https://www.amazon.com/Transparent-Intensity-Lighting-Electronics-Components/dp/B01AUI4VQU/ref=sr_1_3_pp?crid=3BWLD8K6RYN1J&dib=eyJ2IjoiMSJ9.DEoDH6fGAts6Er9N_7YOdQy3nyqyc32kjRyI-wnBA8WwzpxQGk38ThGkKKhFlgVBrDljy5PwZUESkA6HFTvAJP8wx8OpvZg0-F9vKaCV7XAgmuBc2m2zFYOHqO6ulBdxyrdJ6NkGjCKhw3Hau1fg4JTX58VS-PVtmlw_AtMd-14V-KDrP23-qf9c1bkYzRwiwkfTLfN9Sof3PNZ9IoGmo-nHbHNhcelKst5pddWsAp8.U0G1R5x2jG1QDWp4l903Jg2U8u08ZmS90QFt2UA2x6c&dib_tag=se&keywords=white%2B5mm%2Bled&qid=1735827351&sprefix=white%2B5mm%2Bled%2Caps%2C155&sr=8-3&th=1
,30,OLED screen ,1,U9 (NOTE: GND must be outemost pin),5,28,5,2.8,"128x64 Yellow Blue OLED, GND must be one of the edge pins",https://www.amazon.com/GeeekPi-Display-Two-Color-Compatible-Raspberry/dp/B0B7RPCZ4Z/ref=sr_1_18?crid=XRA8IL6EI5EX&dib=eyJ2IjoiMSJ9.IJoxWF1pbbgjuFzVxunatoOj69kwe-DLyV8RxRBubCIOyg8NoRW19EsUHPnubJuNByIxnRIXSU58iXO7XET-q0lwTKKQn_QR2fOiQ7eSaqiMg3db--H1dYqBcaCKRjXR3be-3d-lHDwHQVH8NFO4wWZ2wzTbmznxD5QRPywuAl2yuj8GkpC_emhogNafr1-pMeRndhPBhnwm7UfD_rMAlI1CIW5yGFoMmmR_e8EPoMY.sQvrvhDpgw4G22yg5OljLWP-HkBicaurYq3Bo0dMwhA&dib_tag=se&keywords=0.96+oled&qid=1746097898&sprefix=0.96+ole%2Caps%2C85&sr=8-18,https://www.aliexpress.us/item/3256806675422820.html?spm=a2g0o.productlist.main.61.48ec71a8PhU3Qk&algo_pvid=b66cc100-601d-4b7f-8110-5be12ffdc5fc&algo_exp_id=b66cc100-601d-4b7f-8110-5be12ffdc5fc-30&pdp_npi=4%40dis%21USD%213.66%211.83%21%21%2125.96%2112.98%21%402103244817292777052395011e48be%2112000038545720777%21sea%21US%216040781666%21X&curPageLogUid=4Pnt7bBcdzpP&utparam-url=scene%3Asearch%7Cquery_from%3A
,31,SD Card socket,1,U8,1.2150000000000001,12.15,1.2150000000000001,1.2150000000000001,Micro SD Memory Card Slot Holder Sockets,https://www.amazon.com/Uxcell-a14061000ux0287-Memory-Holder-Sockets/dp/B01AHYS7K8/ref=sr_1_1_pp?crid=34LACP2N6RNQ0&dib=eyJ2IjoiMSJ9.x94X55AoBN6klXn13s3gEECU9ngxp9Ixa2sv3I0jVd9jVKK0daLL3m8UxZZm0uib_nk2QVt-_-ru0DXMNAbQ7o8ie-czXoS7Nzo8uin0mAIK2RrKT9NXrP1a2himsmyLJirFsddpnKYkSSt2CJz4Wx6oW8zbAXKwSlyX3JLh2vG4Fhs0XVSWv5f1uR_eT_9l2t-rgzL5HwmWdIGttYB4qsuIr55OWLlwu5zI0XEUQgk.PNXZFjxyGdP6hBnsgMJqRs5KqZwOkqvaAJax7Vg7Who&dib_tag=se&keywords=sd+card+socket&qid=1746097997&sprefix=sd+card+socket%2Caps%2C101&sr=8-1,https://www.aliexpress.us/item/3256805131369565.html?spm=a2g0o.productlist.main.5.3686ZLajZLajGo&algo_pvid=cf911998-8cce-4a45-b5ac-7f6650304f4e&algo_exp_id=cf911998-8cce-4a45-b5ac-7f6650304f4e-2&pdp_npi=4@dis!USD!0.65!0.65!!!0.65!0.65!@210308a617246282808778826ef867!12000032607449424!sea!US!6040781666!X&curPageLogUid=UgtBNXNm6exj&utparam-url=scene:search%7Cquery_from:
,32,Standard Tin Foil or aluminum foil,1,,0.01,0.1,0.01,0.01,15cm x 15cm of standard Aluminium foil for wrapping the Plastic scintilaltor,https://www.amazon.com/Amazon-Basics-Heavy-Aluminum-Square/dp/B093X4M4QF/ref=sr_1_1_ffob_sspa?dib=eyJ2IjoiMSJ9.DsoYdJe6i4W1BdLtIZQZuCueYK0X1Wxg7vZAcD_SoQ-9uvtF1A_RVWiCYzFqpacHY5ZO0qMqvdLgf1nIT6Opa2lHakDFCTHMZSs8lH3n-SjWt9mPQFDQOVwFzcDfVnLP_imEyENqg7GAB--Y,
,33,Black electrical tape,1,Maybe a meter of tape.,1.69,16.920000000000002,1.69,1.6920000000000002,Black electrical tape for making the Plastic scintillator light-tight,https://www.amazon.com/Lichamp-Electrical-Waterproof-Industrial-Electric/dp/B07VNTC9LH/ref=sr_1_2_pp?crid=3LCB146OV0WJI&dib=eyJ2IjoiMSJ9.Gcl4RNv8zp225gq0DAHkVi4EDCIq6D5AzeEl8wUS-2kTHgABCYWdM0lrkBwrC6UxC8Ef4YyRNKwF7vNuBw-aTVGNhJIg_WzYaUcfJ4GlJWXieTI7fwRWBMVYsPK0xuZKg5fsyXEOvMxt6ctoMXw_qb-oTLRsmL1Y21WXFEQTszCN59tWRd8Yyh7NFhDmEUPrL5lsuSnftzG0bXoeHHLLyT8TeHSw4fh-0OjyDDp-0Ik.9VYv_LrRUWx0K5tPN1byAXXHpDxFfnFxWOSeu-zEIr4&dib_tag=se&keywords=black+electrical+tape&qid=1736882194&sprefix=black+electrical+tape%2Caps%2C144&sr=8-2
,33,microSD Card,1,Suggest >= 4GB,2.6,26,2.6,2.6,"ExFAT formatted, something >4GB is good. 1GB = 1 full month of data.",https://www.amazon.com/EASTBULL-4GB-Full-Video-Surveillance/dp/B0C39YHGC3/ref=sr_1_1?dib=eyJ2IjoiMSJ9.sAlKXbutqga0Xw4SHbAQgGXLJG5i50U81J1SxIQZNecmani74K4CvBbp0WngBmFY_6dUY1gUl_W1JU7sWcRUt-zecg60PF4NSP9VfwxJmzTpQWSXJlSEVMLiy1JSTMgYUc9vKmlFgNJQ8LddKmTUdOenLYc79HxAm_h_bhBE3GV9UdWy6QoM4P4AJryAJIZWH1Wy3iQPekqIyuoZGTDlSg8Pavk2Q8lRxGiefbLOWeA.ZK9EJLA31WcUoI9JS50-7N9OogisIeDaybxDi_lFb1c&dib_tag=se&keywords=4gb%2Bmicro%2Bsd%2Bcard&qid=1749637941&sr=8-1&th=1
,34,Coincidence Cable (CAT5/6),1,,1.4816666666666667,8.89,1.4816666666666667,0.88900000000000001,0.5 ft (or longer) CAT6 Cable (STRAIGHT-Thru ONLY),https://www.amazon.com/Metbxton-Ethernet-Network-Connectors-Internet/dp/B0CMQFHNPM/ref=sr_1_19?crid=1LMFDFTAID37I&dib=eyJ2IjoiMSJ9.3Mt4pznVsYP82NNpq5NqRh28I32ZeNm4aVolluCbc5lQMxBhwPRv9dM7PtnrRoKogLdzPNWKwyHaANuUZl5DO2LMtpPVrJYrsW24KKfzpRJVzq0NDBcgIfIdYXxA
,35,BNC cable for testing (optional),1,,6.54,65.400000000000006,6.54,6.5400000000000009,>1ft BNC cable,https://www.amazon.com/Monoprice-Viper-HD-SDI-RG6-Cable/dp/B01LYOSYOA/ref=sr_1_8?crid=D0YP3QV8Y59W&dib=eyJ2IjoiMSJ9.ouVMlXtW52xcQCNVfWhdMHtWze7aPQGA57QfMcnibn2Fp_zEIPZbB-CYSkktuk-58ZNGVwM9jBUV3PdTJJ19jSjF9Yq3ZNLEqDZG5mCFOACkVjpLGSLZSNOKofcjhKaH1AXli7hhgHccFD7xq5wm5UznqXsbSxDvQpfcv3GTCW8N29P5q4sDC-wUFiokqC92v4rTFOcjse6sWY-rexljwke2k3gowVvTNrtCrLhqTbI.cBa7HpzQ2Q4vtAqxxz0G3ohUmivEOZNBlIvOpHOaRy0&dib_tag=se&keywords=bnc+cable&qid=1746125810&sprefix=bnc+cabl%2Caps%2C128&sr=8-8
,#REF!,Standoff,2,SiPM to Mainboard Standoff,0.7,5.9,1.4,1.1800000000000002,"1/8"" Hex Size, 7/16"""" Length, 0-80 Thread Size ",https://www.mcmaster.com/91780A029/
,31,Standoff mounting screw,4,,6.7900000000000002E-2,0.67900000000000005,0.27160000000000001,0.27160000000000001,"0-80 Thread Size, 1/4"" Long",https://www.mcmaster.com/91771A055/
,32,#2 screw for SiPM PCB/scintillator,4,Mounts SiPM PCB to Scintillator ,2.6499999999999999E-2,0.26500000000000001,0.106,0.10600000000000001,"18-8 Stainless Steel, Number 2 Size, 3/8"" Long",https://www.mcmaster.com/90065A079/
